DEPARTAMENTO,MUNICIPIO,TOTAL,TOPE GASTOS,MAX_CURUL,GERENTE DE CAMPAÑA,departamento_normalizado,ciudad_normalizado,TOPE DONACIONES
AMAZONAS,EL ENCANTO,783,144319596,1,NO,amazonas,el encanto,14431959.600000001
AMAZONAS,LA CHORRERA,1061,144319596,1,NO,amazonas,la chorrera,14431959.600000001
AMAZONAS,LA PEDRERA,1179,144319596,1,NO,amazonas,la pedrera,14431959.600000001
AMAZONAS,LA VICTORIA,65,144319596,1,NO,amazonas,la victoria,14431959.600000001
AMAZONAS,LETICIA,42092,274894466,1,SI,amazonas,leticia,27489446.6
AMAZONAS,MIRITI PARANA,551,144319596,1,NO,amazonas,miriti parana,14431959.600000001
AMAZONAS,PUERTO ALEGRIA,282,144319596,1,NO,amazonas,puerto alegria,14431959.600000001
AMAZONAS,PUERTO ARICA,494,144319596,1,NO,amazonas,puerto arica,14431959.600000001
AMAZONAS,PUERTO NARIÑO,4999,144319596,1,NO,amazonas,puerto narino,14431959.600000001
AMAZONAS,PUERTO SANTANDER,589,144319596,1,NO,amazonas,puerto santander,14431959.600000001
AMAZONAS,TARAPACA,1444,144319596,1,NO,amazonas,tarapaca,14431959.600000001
ANTIOQUIA,ABEJORRAL,15523,144319596,1,NO,antioquia,abejorral,14431959.600000001
ANTIOQUIA,ABRIAQUI,1986,144319596,1,NO,antioquia,abriaqui,14431959.600000001
ANTIOQUIA,ALEJANDRIA,4673,144319596,1,NO,antioquia,alejandria,14431959.600000001
ANTIOQUIA,AMAGA,23955,144319596,1,NO,antioquia,amaga,14431959.600000001
ANTIOQUIA,AMALFI,18778,144319596,1,NO,antioquia,amalfi,14431959.600000001
ANTIOQUIA,ANDES,36524,274894466,1,SI,antioquia,andes,27489446.6
ANTIOQUIA,ANGELOPOLIS,6051,144319596,1,NO,antioquia,angelopolis,14431959.600000001
ANTIOQUIA,ANGOSTURA,9588,144319596,1,NO,antioquia,angostura,14431959.600000001
ANTIOQUIA,ANORI,13169,144319596,1,NO,antioquia,anori,14431959.600000001
ANTIOQUIA,ANTIOQUIA,23383,144319596,1,NO,antioquia,antioquia,14431959.600000001
ANTIOQUIA,ANZA,6446,144319596,1,NO,antioquia,anza,14431959.600000001
ANTIOQUIA,APARTADO,105864,1647076017,1,SI,antioquia,apartado,164707601.70000002
ANTIOQUIA,ARBOLETES,23992,144319596,1,NO,antioquia,arboletes,14431959.600000001
ANTIOQUIA,ARGELIA,6917,144319596,1,NO,antioquia,argelia,14431959.600000001
ANTIOQUIA,ARMENIA,4672,144319596,1,NO,antioquia,armenia,14431959.600000001
ANTIOQUIA,BARBOSA,46103,274894466,1,SI,antioquia,barbosa,27489446.6
ANTIOQUIA,BELLO,350244,1862410015,1,SI,antioquia,bello,186241001.5
ANTIOQUIA,BELMIRA,5293,144319596,1,NO,antioquia,belmira,14431959.600000001
ANTIOQUIA,BETANIA,8553,144319596,1,NO,antioquia,betania,14431959.600000001
ANTIOQUIA,BETULIA,13924,144319596,1,NO,antioquia,betulia,14431959.600000001
ANTIOQUIA,BOLIVAR,24481,144319596,1,NO,antioquia,bolivar,14431959.600000001
ANTIOQUIA,BRICEÑO,7055,144319596,1,NO,antioquia,briceno,14431959.600000001
ANTIOQUIA,BURITICA,7863,144319596,1,NO,antioquia,buritica,14431959.600000001
ANTIOQUIA,CACERES,20161,144319596,1,NO,antioquia,caceres,14431959.600000001
ANTIOQUIA,CAICEDO,7102,144319596,1,NO,antioquia,caicedo,14431959.600000001
ANTIOQUIA,CALDAS,69944,824683400,1,SI,antioquia,caldas,82468340.0
ANTIOQUIA,CAMPAMENTO,7235,144319596,1,NO,antioquia,campamento,14431959.600000001
ANTIOQUIA,CAÑASGORDAS,14650,144319596,1,NO,antioquia,canasgordas,14431959.600000001
ANTIOQUIA,CARACOLI,5004,144319596,1,NO,antioquia,caracoli,14431959.600000001
ANTIOQUIA,CARAMANTA,5113,144319596,1,NO,antioquia,caramanta,14431959.600000001
ANTIOQUIA,CAREPA,48495,274894466,1,SI,antioquia,carepa,27489446.6
ANTIOQUIA,CARMEN DE VIBORAL,42630,274894466,1,SI,antioquia,carmen de viboral,27489446.6
ANTIOQUIA,CAROLINA,4369,144319596,1,NO,antioquia,carolina,14431959.600000001
ANTIOQUIA,CAUCASIA,74524,824683400,1,SI,antioquia,caucasia,82468340.0
ANTIOQUIA,CHIGORODO,51968,824683400,1,SI,antioquia,chigorodo,82468340.0
ANTIOQUIA,CISNEROS,12514,144319596,1,NO,antioquia,cisneros,14431959.600000001
ANTIOQUIA,COCORNA,14338,144319596,1,NO,antioquia,cocorna,14431959.600000001
ANTIOQUIA,CONCEPCION,4453,144319596,1,NO,antioquia,concepcion,14431959.600000001
ANTIOQUIA,CONCORDIA,16565,144319596,1,NO,antioquia,concordia,14431959.600000001
ANTIOQUIA,COPACABANA,76053,824683400,1,SI,antioquia,copacabana,82468340.0
ANTIOQUIA,DABEIBA,20152,144319596,1,NO,antioquia,dabeiba,14431959.600000001
ANTIOQUIA,DON MATIAS,18303,144319596,1,NO,antioquia,don matias,14431959.600000001
ANTIOQUIA,EBEJICO,11679,144319596,1,NO,antioquia,ebejico,14431959.600000001
ANTIOQUIA,EL BAGRE,40718,274894466,1,SI,antioquia,el bagre,27489446.6
ANTIOQUIA,ENTRERRIOS,9625,144319596,1,NO,antioquia,entrerrios,14431959.600000001
ANTIOQUIA,ENVIGADO,244581,1647076017,1,SI,antioquia,envigado,164707601.70000002
ANTIOQUIA,FREDONIA,18348,144319596,1,NO,antioquia,fredonia,14431959.600000001
ANTIOQUIA,FRONTINO,18127,144319596,1,NO,antioquia,frontino,14431959.600000001
ANTIOQUIA,GIRALDO,4896,144319596,1,NO,antioquia,giraldo,14431959.600000001
ANTIOQUIA,GIRARDOTA,56565,824683400,1,SI,antioquia,girardota,82468340.0
ANTIOQUIA,GOMEZ PLATA,9135,144319596,1,NO,antioquia,gomez plata,14431959.600000001
ANTIOQUIA,GRANADA,10296,144319596,1,NO,antioquia,granada,14431959.600000001
ANTIOQUIA,GUADALUPE,5970,144319596,1,NO,antioquia,guadalupe,14431959.600000001
ANTIOQUIA,GUARNE,40480,274894466,1,SI,antioquia,guarne,27489446.6
ANTIOQUIA,GUATAPE,7895,144319596,1,NO,antioquia,guatape,14431959.600000001
ANTIOQUIA,HELICONIA,6120,144319596,1,NO,antioquia,heliconia,14431959.600000001
ANTIOQUIA,HISPANIA,5379,144319596,1,NO,antioquia,hispania,14431959.600000001
ANTIOQUIA,ITAGUI,264607,1862410015,1,SI,antioquia,itagui,186241001.5
ANTIOQUIA,ITUANGO,18255,144319596,1,NO,antioquia,ituango,14431959.600000001
ANTIOQUIA,JARDIN,13225,144319596,1,NO,antioquia,jardin,14431959.600000001
ANTIOQUIA,JERICO,11620,144319596,1,NO,antioquia,jerico,14431959.600000001
ANTIOQUIA,LA CEJA,55073,824683400,1,SI,antioquia,la ceja,82468340.0
ANTIOQUIA,LA ESTRELLA,63920,824683400,1,SI,antioquia,la estrella,82468340.0
ANTIOQUIA,LA PINTADA,7464,144319596,1,NO,antioquia,la pintada,14431959.600000001
ANTIOQUIA,LA UNION,19341,144319596,1,NO,antioquia,la union,14431959.600000001
ANTIOQUIA,LIBORINA,9637,144319596,1,NO,antioquia,liborina,14431959.600000001
ANTIOQUIA,MACEO,8342,144319596,1,NO,antioquia,maceo,14431959.600000001
ANTIOQUIA,MARINILLA,47880,274894466,1,SI,antioquia,marinilla,27489446.6
ANTIOQUIA,MEDELLIN,1805666,2630764028,1,SI,antioquia,medellin,263076402.8
ANTIOQUIA,MONTEBELLO,6512,144319596,1,NO,antioquia,montebello,14431959.600000001
ANTIOQUIA,MURINDO,3411,144319596,1,NO,antioquia,murindo,14431959.600000001
ANTIOQUIA,MUTATA,15969,144319596,1,NO,antioquia,mutata,14431959.600000001
ANTIOQUIA,NARIÑO,9169,144319596,1,NO,antioquia,narino,14431959.600000001
ANTIOQUIA,NECHI,20960,144319596,1,NO,antioquia,nechi,14431959.600000001
ANTIOQUIA,NECOCLI,38194,274894466,1,SI,antioquia,necocli,27489446.6
ANTIOQUIA,OLAYA,2942,144319596,1,NO,antioquia,olaya,14431959.600000001
ANTIOQUIA,PEÑOL,18075,144319596,1,NO,antioquia,penol,14431959.600000001
ANTIOQUIA,PEQUE,6662,144319596,1,NO,antioquia,peque,14431959.600000001
ANTIOQUIA,PUEBLORRICO,7608,144319596,1,NO,antioquia,pueblorrico,14431959.600000001
ANTIOQUIA,PUERTO BERRIO,36021,274894466,1,SI,antioquia,puerto berrio,27489446.6
ANTIOQUIA,PUERTO NARE-LA MAGDALENA,12536,144319596,1,NO,antioquia,puerto nare-la magdalena,14431959.600000001
ANTIOQUIA,PUERTO TRIUNFO,15368,144319596,1,NO,antioquia,puerto triunfo,14431959.600000001
ANTIOQUIA,REMEDIOS,21873,144319596,1,NO,antioquia,remedios,14431959.600000001
ANTIOQUIA,RETIRO,19933,144319596,1,NO,antioquia,retiro,14431959.600000001
ANTIOQUIA,RIONEGRO,119671,1647076017,1,SI,antioquia,rionegro,164707601.70000002
ANTIOQUIA,SABANALARGA,7711,144319596,1,NO,antioquia,sabanalarga,14431959.600000001
ANTIOQUIA,SABANETA,92391,824683400,1,SI,antioquia,sabaneta,82468340.0
ANTIOQUIA,SALGAR,14356,144319596,1,NO,antioquia,salgar,14431959.600000001
ANTIOQUIA,SAN ANDRES,5858,144319596,1,NO,antioquia,san andres,14431959.600000001
ANTIOQUIA,SAN CARLOS,15276,144319596,1,NO,antioquia,san carlos,14431959.600000001
